restaurant_id,name,restaurant_type,avg_rating,num_ratings,avg_cost_two,online_order,table_booking,cuisine_type,area,address,source,city,typical_delivery_time
14635,Crazy 4 Cakes - Ganesh Talkies,,4.0,50,200.0,,,"Desserts,Bakery,Fast Food",Jorasanko,Rabindra Sarani,swiggy,Kolkata,38
14636,Taiyar Pan Center,,4.6,20,50.0,,,"Desserts,Paan",Adajan Patiya,Adajan Patiya,swiggy,Surat,37
14637,Shanti Swayampakghar,,4.2,50,250.0,,,North Indian,Anand Nagar,Sinhgad Road,swiggy,Pune,68
14638,Shakezone,,2.9,80,250.0,,,"Beverages,Desserts",Erandwane,Kothrud,swiggy,Pune,52
14639,Taste Of Mumbai-Bombay Street Cafe,,3.9,20,450.0,,,"South Indian,Beverages",Ambawadi,Ambawadi,swiggy,Ahmedabad,35
14640,Anna Idli,,4.0,100,300.0,,,South Indian,Sangamvadi,Koregaon Park,swiggy,Pune,37
14641,Sonu Shakewala,,2.9,80,300.0,,,Beverages,Kalyani Nagar,Kalyani Nagar,swiggy,Pune,60
14642,Uncle Da Dhaba,,2.9,80,500.0,,,North Indian,Kalyani Nagar,Kalyani Nagar,swiggy,Pune,64
14643,Granny Ammaas Cake,,4.1,20,300.0,,,"Desserts,Bakery",Somwar Peth,Swargate,swiggy,Pune,34
14644,Bismillah B Blast,,4.0,100,200.0,,,Beverages,Vishal Nagar,Laxmi Enclave,swiggy,Surat,52
14645,Sri Balaji Prithviraj Family Dhaba,,3.9,1000,400.0,,,"North Indian,Chinese",Narayanguda,Himayath Nagar,swiggy,Hyderabad,29
14646,Lassi Shop-Is Sadan Cross Road,,4.1,20,100.0,,,Ice Cream,Saidabad,Santoshnagar & Saidabad,swiggy,Hyderabad,41
14647,Sind Bakery,,2.9,80,250.0,,,Bakery  Pizzas,Begumpet,Begumpet,swiggy,Hyderabad,62
14648,Cafe Rudra,,2.9,80,200.0,,,Fast Food,Shivajinagar,Shivaji Nagar,swiggy,Pune,47
14649,Madhav Restaurant,,3.3,20,200.0,,,North Indian,Singanpor,Ved Road,swiggy,Surat,41
14650,Mm Cafe Point,,2.9,80,100.0,,,"Beverages,Snacks",Kodambakkam,Arcot Road,swiggy,Chennai,80
14651,Punjabi Paratha,,4.4,100,150.0,,,Indian,Bhowanipore,Bhowanipur,swiggy,Kolkata,60
